account_id,line_type,amount,fee,valuation,cash_flow,month_start_mv,month_end_mv
S003062,TRADE,-11.93,0.0,15.21,-27.14,6105.24,6080.17
S002318,TRADE,-93.86,0.0,-62.41,-31.45,8294.98,8182.86
S002287,FEE,228.9,-3.3,278.03,-45.82,8735.09,8961.06
S002962,TRADE,515.52,0.0,610.54,-95.02,18383.95,18880.02
S002079,DIVIDEND,173.46,0.0,140.8,32.66,6460.27,6642.72
S002125,INTEREST,-638.0,0.0,-672.96,34.96,21471.35,20814.6
S002429,ADJUSTMENT,145.9,-5.91,83.15,68.66,7789.89,7941.71
S002600,DIVIDEND,-30.92,0.0,-95.28,64.36,13429.11,13394.72
S002761,INTEREST,-77.38,0.0,-15.58,-61.8,3016.87,2939.94
S002849,DIVIDEND,80.71,0.0,54.47,26.24,1000.0,1081.71
S002322,FEE,2233.11,-30.82,3071.24,-807.31,44950.58,47215.62
S002858,FEE,-85.47,-17.54,-202.44,134.51,12104.4,12029.08
S002353,TRADE,28.99,0.0,19.34,9.65,8033.01,8070.81
S002357,FEE,-275.14,-5.21,-100.38,-169.55,4917.61,4646.67
S003062,TRADE,727.78,0.0,344.84,382.94,14330.09,15068.59
S002310,TRADE,646.74,0.0,374.71,272.03,10427.77,11061.29
S002371,DIVIDEND,-570.06,0.0,-262.75,-307.3,10717.79,10169.53
S002747,INTEREST,-235.91,0.0,14.97,-250.88,12621.14,12393.18
S002224,FEE,-41.76,-16.13,-368.5,342.87,28551.09,28480.48
S002332,DIVIDEND,-288.41,0.0,-91.13,-197.28,8111.25,7825.37
S002061,TRADE,-323.17,0.0,2.45,-325.62,17901.4,17561.74
S003018,TRADE,157.59,0.0,773.35,-615.75,37702.75,37805.09
S002417,TRADE,462.64,0.0,108.35,354.29,24252.66,24688.81
S002626,TRADE,-895.79,0.0,48.02,-943.81,25789.45,24862.04
S002826,TRADE,-88.93,0.0,-5.64,-83.29,13740.72,13669.33
S002764,FEE,-19.67,-10.84,-79.23,70.41,8693.18,8675.9
S002543,TRADE,1079.43,0.0,311.08,768.36,18222.14,19332.72
S002657,TRADE,116.7,0.0,43.71,72.99,3565.78,3686.5
S002058,INTEREST,310.8,0.0,423.46,-112.65,14489.01,14776.62
S002052,TRADE,-133.18,0.0,261.87,-395.06,12031.51,11905.03
S002679,TRADE,59.95,0.0,407.13,-347.18,13390.24,13453.44
S002058,DIVIDEND,138.63,0.0,71.5,67.14,10248.02,10386.1
S002963,DIVIDEND,95.81,0.0,-184.96,280.77,10151.85,10250.73
S002070,DIVIDEND,20.56,0.0,230.2,-209.64,20494.87,20490.0
S002295,TRADE,1525.18,0.0,255.32,1269.86,45139.32,46739.48
S002834,DIVIDEND,156.72,0.0,174.49,-17.77,8085.28,8245.02
S002095,TRADE,-676.73,0.0,36.47,-713.21,17065.45,16360.37
S003104,FEE,-136.79,-3.51,85.81,-219.09,13087.03,12962.78
S002772,TRADE,-1487.86,0.0,-834.85,-653.01,33307.27,31758.02
S003075,TRADE,-365.71,0.0,-74.58,-291.13,10150.25,9772.59
S002347,DIVIDEND,1888.34,0.0,1127.34,761.01,26656.17,28583.8
S002323,DIVIDEND,169.9,0.0,40.93,128.97,4573.11,4747.0
S002205,FEE,-98.38,-6.69,33.8,-125.49,4170.97,4078.51
S002030,TRADE,148.13,0.0,157.95,-9.81,8984.5,9135.36
S002714,DIVIDEND,419.42,0.0,347.76,71.67,19241.72,19658.38
S002456,INTEREST,-17.75,0.0,525.86,-543.62,37014.92,36944.24
S002188,FEE,297.97,-9.17,764.25,-457.1,28666.36,28969.86
S002859,TRADE,179.64,0.0,117.48,62.16,5272.54,5448.77
S002135,DIVIDEND,937.35,0.0,315.81,621.53,19389.35,20336.59
S002230,TRADE,199.02,0.0,-54.14,253.15,13474.14,13665.82
S002974,INTEREST,85.81,0.0,158.31,-72.49,4992.81,5081.1
S002951,TRADE,790.31,0.0,1009.21,-218.89,38564.52,39420.27
S002850,DIVIDEND,-690.59,0.0,-428.54,-262.04,18877.18,18176.04
S003099,FEE,-127.19,-1.54,-41.45,-84.2,6758.14,6626.76
S002901,INTEREST,-313.89,0.0,-129.62,-184.27,19522.99,19217.13
S002275,FEE,-282.34,-4.67,-217.68,-59.99,12079.35,11789.6
S002001,TRADE,-135.18,0.0,-186.44,51.26,9997.11,9870.42
S002637,DIVIDEND,624.91,0.0,78.93,545.98,29833.41,30506.47
S002975,TRADE,-207.25,0.0,-397.32,190.06,14824.3,14620.17
S002961,DIVIDEND,-54.48,0.0,-211.33,156.85,8528.91,8473.89
S002526,DIVIDEND,-73.58,0.0,-64.72,-8.86,9069.3,8994.23
S002262,TRADE,-14.53,0.0,-20.28,5.75,6203.85,6183.18
S002661,TRADE,613.17,0.0,240.29,372.88,10126.12,10724.84
S003105,TRADE,99.5,0.0,-139.01,238.5,7522.69,7629.11
S002748,DIVIDEND,271.5,0.0,96.13,175.37,17798.33,18081.47
S002197,TRADE,-1008.86,0.0,-89.03,-919.83,33418.42,32378.55
S002978,INTEREST,631.19,0.0,612.1,19.09,8280.13,8907.62
S003009,INTEREST,-279.08,0.0,-224.91,-54.17,13079.37,12809.33
S003169,TRADE,49.55,0.0,-133.88,183.43,10799.27,10849.86
S002401,TRADE,-781.04,0.0,-441.23,-339.81,15272.01,14486.54
S002257,ADJUSTMENT,-77.55,-22.27,52.82,-108.09,16556.03,16486.08
S002449,TRADE,1365.52,0.0,586.93,778.59,39884.6,41144.08
S003054,TRADE,131.21,0.0,215.73,-84.52,14360.99,14503.73
S002265,TRADE,-503.67,0.0,211.48,-715.16,29883.0,29418.07
S002292,TRADE,-319.61,0.0,-55.69,-263.92,9195.52,8884.1
S002461,TRADE,-423.33,0.0,-609.61,186.28,21572.57,21160.88
S002168,TRADE,-134.33,0.0,46.46,-180.79,11120.19,10997.94
S002194,DIVIDEND,108.87,0.0,246.36,-137.49,7145.03,7248.25
S002827,ADJUSTMENT,-21.52,-5.07,53.78,-70.23,8072.54,8055.96
S002578,DIVIDEND,202.6,0.0,44.16,158.44,5863.04,6071.62
S002215,DIVIDEND,-300.24,0.0,18.85,-319.08,27825.06,27522.91
S002511,TRADE,266.23,0.0,66.47,199.76,13351.34,13625.61
S002463,TRADE,-41.99,0.0,-45.52,3.53,28939.52,28938.74
S002513,TRADE,350.78,0.0,292.08,58.7,21964.88,22306.67
S002378,TRADE,188.91,0.0,27.93,160.98,15752.18,15937.76
S002616,FEE,44.68,-1.94,30.85,15.77,1597.72,1642.42
S002673,TRADE,1841.21,0.0,1016.4,824.81,29098.93,30960.0
S002946,FEE,1460.31,-19.87,1062.59,417.59,32500.37,-34020.66
S003064,DIVIDEND,436.94,0.0,104.69,332.25,10511.9,10955.69
S003058,FEE,83.36,-36.17,368.97,-249.44,28666.3,28766.36
S003182,FEE,-800.24,-4.41,-246.66,-549.17,11259.43,10462.99
S002546,TRADE,393.59,0.0,217.66,175.93,11056.65,11465.8
S002269,TRADE,1320.18,0.0,1256.25,63.93,30312.09,31647.68
S002671,INTEREST,376.12,0.0,85.24,290.88,11039.88,11401.14
S002864,INTEREST,-23.61,0.0,160.27,-183.88,10159.29,10124.25
S002767,TRADE,154.77,0.0,47.89,106.88,8417.51,8554.65
S002297,TRADE,58.16,0.0,68.53,-10.37,4586.9,4648.69
S003186,DIVIDEND,59.42,0.0,-97.91,157.34,8128.56,8187.2
S002070,TRADE,-920.09,0.0,-639.66,-280.43,26727.81,25857.75
S002788,ADJUSTMENT,-407.8,-2.82,-144.44,-260.53,5191.49,4777.83
S002098,TRADE,110.94,0.0,-51.41,162.35,15676.95,15780.07
S002405,TRADE,-10.79,0.0,163.01,-173.8,20936.32,20926.15
S002373,TRADE,478.75,0.0,19.04,459.71,27441.65,27937.77
S002029,DIVIDEND,-92.93,0.0,106.66,-199.59,9101.74,9012.62
S002292,TRADE,273.1,0.0,211.27,61.83,11434.7,11692.85
S002069,DIVIDEND,770.12,0.0,749.16,20.95,13464.13,14231.95
S002487,TRADE,42.94,0.0,3.67,39.27,1511.54,1553.07
S002331,FEE,758.57,-33.57,909.02,-116.88,23810.94,24582.43
S002812,TRADE,-703.31,0.0,-100.89,-602.41,31360.42,30654.96
S002660,ADJUSTMENT,104.84,-6.57,37.07,74.34,18449.67,18596.74
S002023,TRADE,78.87,0.0,76.45,2.42,3495.31,3582.99
S003171,INTEREST,-379.11,0.0,-133.26,-245.84,26092.48,25679.95
S002984,TRADE,-478.43,0.0,-228.41,-250.02,10923.82,10452.54
S002990,TRADE,-141.34,0.0,122.88,-264.22,10410.83,10276.47
S002704,TRADE,97.76,0.0,-41.8,139.56,33588.05,33679.35
S002384,TRADE,703.66,0.0,606.65,97.01,10389.36,11087.52
S003182,TRADE,109.11,0.0,34.46,74.65,4133.87,4243.73
S002830,TRADE,319.76,0.0,199.84,119.92,6104.73,6422.97
S002925,TRADE,-209.47,0.0,210.61,-420.08,51278.26,51124.57
S002439,TRADE,-141.44,0.0,171.28,-312.73,10233.06,10092.27
S002928,TRADE,78.23,0.0,58.88,19.35,6127.92,6211.58
S002538,DIVIDEND,136.09,0.0,-143.94,280.03,22324.05,22478.99
S003117,INTEREST,313.65,0.0,108.15,205.51,5390.93,5709.97
S002900,FEE,-362.82,-5.19,2461.83,-160.93,0.0,7309.15
S002241,TRADE,-37.71,0.0,319.53,-357.24,17334.28,17309.12
S002572,ADJUSTMENT,1606.62,-22.87,1109.27,520.22,25351.74,26972.54
S003053,TRADE,247.94,0.0,131.04,116.9,12001.56,12255.18
S002690,TRADE,240.76,0.0,254.06,-13.3,10712.3,10938.75
S002690,TRADE,54.3,0.0,-20.65,74.95,3503.79,3559.04
S002381,DIVIDEND,418.37,0.0,265.56,152.81,13400.73,13836.92
S002522,TRADE,-96.01,0.0,-192.68,96.67,9711.53,9624.46
S002698,DIVIDEND,-730.31,0.0,-495.74,-234.57,34467.47,33690.15
S002998,DIVIDEND,-108.07,0.0,14.98,-123.05,19256.54,19125.78
S003124,FEE,-156.47,-4.85,-47.39,-104.24,7062.19,6911.36
S002934,DIVIDEND,-126.62,0.0,-141.8,15.18,18508.7,18373.98
S002197,TRADE,188.0,0.0,149.99,38.01,4968.61,5150.3
S002701,TRADE,-368.36,0.0,-553.93,185.57,13823.62,13451.53
S003063,TRADE,-147.94,0.0,2.15,-150.09,2745.74,2601.36
S002538,TRADE,-17.12,0.0,-16.58,-0.54,4579.12,4559.14
S002129,TRADE,22.39,0.0,11.96,10.43,6409.34,6433.26
S002748,FEE,333.6,-11.61,218.81,126.4,13206.17,13544.46
S002873,TRADE,-292.99,0.0,63.98,-356.97,10601.5,-10322.21
S002052,DIVIDEND,-68.09,0.0,28.33,-96.41,8209.71,8154.76
S003112,DIVIDEND,218.71,0.0,385.61,-166.9,29299.23,29546.19
S002258,TRADE,1329.69,0.0,566.24,763.46,27120.72,28491.19
S002193,DIVIDEND,261.27,0.0,263.92,-2.65,20884.79,21145.32
S002465,TRADE,-668.66,0.0,-214.24,-454.42,19447.09,18802.33
S002936,ADJUSTMENT,-742.37,-26.29,-383.58,-332.5,30562.17,29792.75
S002227,ADJUSTMENT,-279.31,-12.36,-149.45,-117.5,8849.68,8554.56
S002246,TRADE,-112.58,0.0,-134.33,21.75,8384.55,8264.41
S003127,TRADE,279.82,0.0,63.05,216.76,5715.1,5993.65
S002605,FEE,372.93,-5.85,877.32,-498.55,21326.6,21656.91
S002258,DIVIDEND,-86.47,0.0,-143.89,57.42,8175.56,8092.2
S002711,INTEREST,-5.61,0.0,-48.29,42.68,9496.36,9480.32
S002628,FEE,-587.75,-23.23,-262.42,-302.1,27363.32,26781.85
S002926,INTEREST,1403.38,0.0,1542.57,-139.19,38021.41,39410.37
S002893,TRADE,-353.45,0.0,180.91,-534.36,24646.88,24243.32
S003133,TRADE,-224.72,0.0,322.25,-546.98,15122.38,14893.52
S002169,TRADE,158.81,0.0,190.46,-31.65,28442.02,28600.41
S003033,TRADE,876.17,0.0,228.69,647.47,27608.62,28514.38
S002373,TRADE,86.29,0.0,74.32,11.97,2919.37,3005.98
S002814,FEE,16.27,-6.37,192.7,-170.07,6839.01,6856.33
S003046,TRADE,10.54,0.0,27.4,-16.87,5352.22,5366.89
S002399,DIVIDEND,188.27,0.0,35.67,152.6,16013.24,16208.99
S002290,TRADE,-23.38,0.0,-164.17,140.8,19910.13,19871.19
S002454,FEE,68.26,-9.84,-39.05,117.16,10068.76,10116.06
S002034,INTEREST,347.47,0.0,214.42,133.05,20162.51,20514.26
S002406,DIVIDEND,-54.06,0.0,-89.41,35.35,6742.82,6688.29
S002724,TRADE,-189.65,0.0,119.0,-308.65,11569.23,11375.55
S003076,INTEREST,-253.6,0.0,-211.65,-41.95,16090.91,15823.65
S002310,INTEREST,223.71,0.0,273.71,-49.99,18930.71,19159.78
S003152,INTEREST,-217.45,0.0,-320.57,103.12,21667.64,21455.56
S003086,TRADE,192.06,0.0,322.29,-130.22,17072.0,17242.64
S003075,FEE,295.01,-2.16,44.65,252.52,10414.54,10698.21
S002096,TRADE,421.73,0.0,173.98,247.76,12067.46,12492.69
S003091,TRADE,49.01,0.0,43.84,5.17,5089.22,5134.98
S002742,TRADE,31.74,0.0,35.48,-3.74,4964.91,4989.65
S003104,DIVIDEND,348.04,0.0,392.7,-44.66,13362.15,13725.68
S002471,FEE,316.96,-0.35,51.65,265.66,16003.69,16325.16
S003087,FEE,-124.79,-3.79,-50.28,-70.73,6810.65,6686.35
S002341,FEE,-3.18,-7.03,54.4,-50.55,7882.11,7880.5
S002766,TRADE,-196.74,0.0,-172.33,-24.41,11363.3,11163.51
S002325,TRADE,578.8,0.0,249.82,328.97,13302.16,13887.29
S002205,DIVIDEND,-25.28,0.0,6.91,-32.2,6636.53,6603.39
S002339,TRADE,-81.32,0.0,31.76,-113.08,5506.92,5424.69
S002463,TRADE,-449.71,0.0,80.56,-530.27,21603.68,21126.67
S002311,TRADE,408.73,0.0,-18.36,427.09,10216.81,10632.87
S003107,TRADE,125.0,0.0,-28.74,153.74,10781.0,10901.07
S002868,TRADE,101.48,0.0,34.17,67.31,8987.1,9100.53
S002414,DIVIDEND,11.87,0.0,2.16,9.71,11451.18,11463.94
S002570,DIVIDEND,607.19,0.0,263.0,344.18,21006.49,21571.65
S002100,TRADE,-171.53,0.0,-386.76,215.23,35219.9,35000.58
S002820,INTEREST,-743.8,0.0,-346.21,-397.59,20596.13,19853.99
S002607,TRADE,207.9,0.0,126.75,81.15,8178.45,8392.86
S002798,TRADE,-82.08,0.0,-10.37,-71.71,3892.13,3808.6
S003068,ADJUSTMENT,-86.25,-3.01,-110.85,27.61,3156.73,3073.19
S002862,FEE,-1269.37,-31.2,-268.92,-969.26,27950.71,26708.4
S002975,DIVIDEND,-384.95,0.0,72.09,-457.04,13696.87,13301.17
S002958,TRADE,166.14,0.0,38.15,128.0,10429.76,10601.88
S002659,INTEREST,-191.2,0.0,191.25,-382.45,19696.31,19468.3
S002278,TRADE,959.55,0.0,849.39,110.16,26071.52,27027.41
S002614,DIVIDEND,79.06,0.0,932.97,-853.91,43286.4,43354.25
S002000,INTEREST,248.41,0.0,-463.33,711.74,29607.17,29874.54
S002153,TRADE,757.59,0.0,489.21,268.38,29145.76,29863.01
S002514,TRADE,388.99,0.0,43.07,345.91,11496.01,11884.36
S003138,TRADE,2762.18,0.0,1915.76,846.42,48393.66,51195.66
S002638,TRADE,43.68,0.0,41.66,2.02,6613.94,6657.59
S002427,FEE,101.89,-7.08,168.31,-59.35,6423.78,6523.66
S002136,FEE,-153.23,-35.5,-118.74,1.01,29651.04,29531.85
S002121,TRADE,72.36,0.0,77.05,-4.69,4308.03,4385.97
S002840,DIVIDEND,232.25,0.0,216.52,15.73,12689.76,12927.67
S002287,FEE,43.37,-2.79,229.84,-183.68,13889.02,13934.68
S002294,DIVIDEND,-131.26,0.0,-181.27,50.02,9776.82,9646.31
S002984,TRADE,-93.04,0.0,-21.77,-71.28,10541.37,10448.83
S002328,FEE,26.04,-3.87,-60.35,90.25,6225.71,6254.55
S002496,TRADE,44.97,0.0,47.09,-2.12,6154.02,6206.98
S002801,TRADE,-198.07,0.0,-190.42,-7.65,10577.57,10379.75
S002326,TRADE,116.66,0.0,48.4,68.26,3030.4,3148.04
S002858,TRADE,598.55,0.0,-191.17,789.72,19190.21,19802.41
S002800,DIVIDEND,22.91,0.0,195.54,-172.63,6691.97,6706.37
S002396,TRADE,354.09,0.0,568.81,-214.72,18016.96,18338.42
S002509,TRADE,540.56,0.0,308.51,232.05,17549.99,-18094.42
S002717,TRADE,246.25,0.0,414.25,-168.0,15466.17,15714.46
S002144,TRADE,-248.95,0.0,15.52,-264.47,10741.32,10502.15
S002463,DIVIDEND,-1.36,0.0,-103.39,102.04,11164.2,11159.88
S002565,INTEREST,1126.69,0.0,415.95,710.74,16214.65,17330.43
S002287,INTEREST,302.15,0.0,302.1,0.05,15619.36,15910.48
S002822,INTEREST,489.11,0.0,71.22,417.89,17805.42,18298.19
S002252,TRADE,423.91,0.0,322.59,101.31,9992.06,10414.13
S003199,DIVIDEND,-641.65,0.0,-161.53,-480.11,13344.4,12717.25
S002310,TRADE,456.23,0.0,168.21,288.01,14505.64,14957.04
S002421,TRADE,67.16,0.0,64.44,2.72,9583.1,9629.95
S002908,TRADE,75.67,0.0,66.63,9.03,12130.26,12202.1
S002291,TRADE,-187.03,0.0,-393.32,206.29,8651.28,8469.77
S002564,DIVIDEND,889.14,0.0,-52.76,941.89,17378.67,18273.14
S002670,INTEREST,391.09,0.0,210.63,180.46,23420.24,23799.03
S002022,FEE,942.89,-17.92,295.45,665.36,27834.82,28794.82
S002240,INTEREST,-126.88,0.0,42.59,-169.47,9979.28,9852.45
S003066,FEE,654.5,-29.81,1267.99,-583.68,35637.64,36315.44
S002637,TRADE,1027.14,0.0,759.74,267.4,27674.65,28714.64
S003073,DIVIDEND,96.1,0.0,-43.08,139.18,8912.43,9016.37
S002210,TRADE,150.52,0.0,114.61,35.91,3068.29,3217.6
S002964,DIVIDEND,-120.96,0.0,181.91,-302.87,13131.71,13021.17
S002475,DIVIDEND,177.16,0.0,30.38,146.78,10448.1,10648.26
S002897,INTEREST,667.98,0.0,561.11,106.86,10953.07,11613.41
S002611,DIVIDEND,-1754.05,0.0,-1251.13,-502.92,32654.42,30846.86
S002255,DIVIDEND,1479.36,-1980.3080000000002,-166.8,1646.16,39606.16,41056.2
S003108,TRADE,103.02,0.0,55.91,47.11,9183.11,9273.41
S002930,TRADE,101.26,0.0,52.33,48.93,10211.64,10308.39
S002314,FEE,251.24,-12.61,432.86,-169.01,18031.13,18319.4
S002144,TRADE,241.82,0.0,248.31,-6.49,16024.64,16254.36
S002699,DIVIDEND,246.45,0.0,99.11,147.34,5663.66,5903.45
S002557,FEE,-64.36,-3.11,-177.3,116.05,13195.82,13123.52
S002083,DIVIDEND,339.37,0.0,-44.28,383.65,22788.2,23149.73
S002781,DIVIDEND,-210.96,0.0,-69.08,-141.88,6044.09,5833.42
S002523,DIVIDEND,435.33,0.0,507.85,-72.52,35848.63,-36301.69
S002231,DIVIDEND,-850.6,0.0,-760.96,-89.64,29277.24,28430.9
S002955,TRADE,-41.18,0.0,60.31,-101.49,42234.66,42209.56
S002872,FEE,696.57,-15.51,353.12,358.96,14129.28,14841.86
S003198,FEE,-68.79,-2.93,13.05,-78.9,5963.24,5890.34
S002344,ADJUSTMENT,133.82,-10.89,206.69,-61.98,7574.0,7712.93
S002997,TRADE,332.04,0.0,243.08,88.96,19864.57,20211.08
S002596,FEE,-75.44,-3.4,6.86,-78.9,5478.6,5402.94
S002460,TRADE,16.82,0.0,2736.7439999999997,-229.21,0.0,8683.72
S003070,FEE,222.81,-2.99,336.66,-110.85,8723.2,8940.27
S002211,TRADE,128.8,0.0,201.43,-72.64,31502.57,31634.47
S002181,DIVIDEND,52.4,0.0,141.89,-89.49,6645.22,6697.46
S002742,ADJUSTMENT,113.29,-8.71,76.28,45.72,18773.85,18869.34
S002494,INTEREST,3.33,0.0,16.4,-13.07,6300.93,6298.16
S003012,TRADE,41.49,0.0,18.17,23.33,16477.95,16521.99
S002885,TRADE,-27.76,0.0,-50.1,22.34,8048.39,8013.68
S002863,TRADE,-641.16,0.0,-310.47,-330.69,14880.23,14253.92
S002116,TRADE,371.64,0.0,256.25,115.39,9330.8,9696.74
S002215,INTEREST,-145.63,0.0,-121.99,-23.65,3269.15,3118.8
S002573,DIVIDEND,-215.0,0.0,127.54,-342.54,7047.5,6831.01
S002564,ADJUSTMENT,3.09,-15.87,-40.63,59.59,21138.82,21138.21
S002515,TRADE,140.23,0.0,174.34,-34.1,10121.19,10259.68
S003040,DIVIDEND,-1373.27,0.0,-1088.05,-285.22,32779.48,31458.15
S002673,TRADE,-299.13,0.0,-500.06,200.92,15269.45,14941.95
S002859,INTEREST,-707.61,0.0,-441.91,-265.7,10678.4,9976.26
S002514,INTEREST,-98.58,0.0,-36.74,-61.84,3147.67,3049.64
S002730,ADJUSTMENT,963.08,-2.58,382.38,583.28,13746.87,14714.59
S002170,TRADE,383.28,0.0,63.71,319.56,16239.61,16621.97
S002026,TRADE,-135.84,0.0,246.59,-382.44,16638.07,16536.75
S002207,FEE,988.01,-5.03,61.6,931.44,37968.82,38989.88
S002994,DIVIDEND,222.29,0.0,92.27,130.01,8273.93,8490.66
S002497,TRADE,259.09,-1053.821,334.67,-75.58,21076.42,21333.18
S003199,TRADE,-722.89,0.0,7468.934,-698.25,0.0,32344.67
S003013,FEE,-163.64,-5.67,-304.06,146.1,7669.55,7500.51
S002453,DIVIDEND,-230.65,0.0,-168.17,-62.49,18545.77,18304.09
S002888,TRADE,49.61,0.0,153.0,-103.4,6814.52,6866.97
S002544,FEE,1721.24,-8.22,12604.322,740.67,0.0,58021.61
S002212,FEE,-156.63,-9.99,142.77,-289.41,15709.88,15538.17
S002999,DIVIDEND,265.2,0.0,-162.45,427.65,9921.32,10193.9
S003148,TRADE,104.02,0.0,-33.7,137.72,8167.84,8266.87
S003158,INTEREST,178.17,0.0,45.45,132.72,7726.09,7897.7
S002769,ADJUSTMENT,-40.48,-5.92,84.79,-119.34,8225.29,8170.31
S003062,TRADE,380.94,0.0,-224.19,605.14,15647.81,16048.79
S002783,TRADE,245.44,0.0,-91.64,337.08,12904.15,13153.65
S002086,INTEREST,-280.34,0.0,-278.61,-1.73,21230.4,20958.46
S002220,TRADE,217.5,0.0,80.81,136.69,6905.5,7124.99
S002201,INTEREST,-492.86,0.0,24.2,-517.06,31852.51,31342.13
S003178,INTEREST,359.24,0.0,182.22,177.02,8563.57,8925.76
S002194,DIVIDEND,-63.16,0.0,-20.63,-42.53,5153.07,5087.84
S002240,TRADE,703.21,0.0,595.24,107.97,31348.63,32027.56
S002488,DIVIDEND,250.77,0.0,133.19,117.58,4909.67,5156.62
S002738,TRADE,167.11,0.0,187.21,-20.09,15164.29,15360.71
S003188,TRADE,-1058.47,0.0,-560.99,-497.47,13903.8,12831.47
S002863,FEE,473.34,-19.82,1141.28,-648.12,21098.27,21563.55
S002806,DIVIDEND,-26.31,0.0,-93.48,67.17,17894.23,17874.64
S002081,TRADE,13.8,0.0,263.06,-249.26,10371.86,10393.42
S002711,TRADE,126.75,0.0,42.54,84.21,5548.0,5675.39
S002901,TRADE,564.57,0.0,278.16,286.41,14470.41,15031.06
S002943,INTEREST,636.11,0.0,52.33,583.78,18442.07,19055.72
S003174,TRADE,130.94,0.0,99.96,30.98,9301.71,9418.86
S003070,FEE,202.88,-7.23,179.82,30.3,6290.3,6489.57
S002076,DIVIDEND,522.59,0.0,157.75,364.84,41530.73,42061.42
S002816,FEE,-213.65,-4.3,-82.01,-127.33,7212.34,6988.55
S002884,TRADE,62.1,0.0,-9.48,71.58,5615.89,5676.91
S002052,DIVIDEND,510.68,0.0,503.35,7.33,17464.96,17978.02
S002442,TRADE,479.85,0.0,-635.69,1115.54,64565.34,65012.21
S003161,TRADE,-651.03,0.0,79.69,-730.72,26167.04,25525.26
S002370,TRADE,-4.43,0.0,17.48,-21.91,8349.95,8334.0
S002049,TRADE,101.91,0.0,212.09,-110.18,18655.67,18767.14
S002673,FEE,-389.1,-7.43,-224.59,-157.08,20437.21,20055.15
S002202,TRADE,33.0,0.0,-402.0,435.01,18971.97,19016.06
S002598,DIVIDEND,-387.59,0.0,-150.9,-236.7,21981.4,21603.76
S002844,FEE,517.32,-8.97,203.83,322.46,11865.07,12379.06
S002058,ADJUSTMENT,-358.48,-4.49,-251.92,-102.07,13055.06,12698.56
S002935,TRADE,1633.02,0.0,604.32,1028.7,31042.38,32719.9
S002519,TRADE,-55.13,0.0,-44.42,-10.71,4625.42,4572.0
S002734,TRADE,663.87,0.0,193.63,470.25,16885.46,17565.23
S002704,DIVIDEND,126.78,0.0,-75.93,202.72,9605.82,9738.62
S002721,TRADE,729.27,0.0,303.46,425.81,16142.19,16830.56
S002509,ADJUSTMENT,551.7,-24.27,312.07,263.89,13536.1,14092.78
S002566,TRADE,-141.22,0.0,279.1,-420.32,16320.48,16161.02
S002913,FEE,257.22,-15.89,-35.99,309.1,17851.97,18091.15
S002097,TRADE,261.44,0.0,87.69,173.75,11957.35,12219.17
S002664,FEE,-272.28,-12.07,243.58,-503.79,11191.91,10912.85
