account_id,ticker,lot_id,trade_date,quantity,cost_basis
A001718,AMAT,LOT46f28718d2,2023-12-22,13,480.66
A001876,MA,LOT0db583d0cf,2023-12-16,13,383.26
A001285,LULU,LOTa57000cccd,2025-02-07,46,105.4
A001423,COST,LOTb38a3375c7,2025-07-08,32,351.87
A001718,SHOP,LOT28174a3098,2024-11-23,88,31.01
A001344,PEP,LOTce32b20632,2024-11-11,18,252.47
A001592,SQ,LOT773ca43550,2024-12-07,18,176.56
A001195,JPM,LOTd3c5acd0d2,2024-07-12,24,455.66
A001121,BAC,LOTb9ad8fec2d,2023-11-05,27,336.16
A001259,EFA,LOTf6def93389,2025-04-24,39,371.57
A001511,V,LOTd12e999cb8,2024-10-12,26,68.01
A001506,BND,LOTf89c703ca7,2023-10-15,12,213.04
A001804,VZ,LOT1034b68e6a,2025-04-14,41,60.48
A001550,VOO,LOT4c419b6aae,2024-07-09,12,152.37
A001768,AMD,LOTf2592b597f,2025-06-21,15,500.66
A001190,INTC,LOT07438e8908,2024-03-28,40,350.4
A001569,EFA,LOTc20c8799cc,2024-08-25,26,337.33
A001931,VZ,LOTa5fb8e9bf6,2024-10-06,1,51.97
A001005,AMAT,LOTa236a3f965,2025-06-03,27,425.33
A001938,VOO,LOT223d0e8a81,2023-10-27,26,189.65
A001733,TXN,LOTd6369f359d,2025-07-04,50,90.25
A001814,UNH,LOT68e2bfa167,2024-06-24,51,386.71
A001433,VZ,LOTbb3a251468,2024-12-06,5,54.43
A001661,LLY,LOT651f91faeb,2024-11-20,15,161.33
A001691,UBER,LOTf41a924624,2024-01-24,7,359.78
A001267,SQ,LOT0a3be8a434,2024-04-28,19,285.21
A001703,LIN,LOT2951081ba7,2023-10-09,9,257.52
A001099,GOOGL,LOT11c0cf7073,2025-05-28,69,131.63
A001941,MSFT,LOT47e397c923,2025-05-02,37,238.52
A001323,AMD,LOTb1867a2d9f,2024-05-27,46,528.13
A001001,CRM,LOT92822bca03,2025-02-11,24,99.99
A001270,ASML,LOT9834d7ba91,2023-11-11,70,413.62
A001618,MA,LOT39708ebb17,2024-11-30,66,414.58
A001191,QQQ,LOTa138cabfcc,2024-09-02,44,379.88
A001512,NVDA,LOT857955666b,2024-08-22,26,358.81
A001338,AMZN,LOT283f7120a7,2024-07-28,17,66.53
A001625,GLD,LOTff6f121cf0,2023-09-21,20,63.76
A001479,CRM,LOT4816fbafaa,2023-11-05,18,107.43
A001186,EEM,LOT78f213e700,2025-06-01,14,171.44
A001002,UNH,LOT34b4b27202,2024-05-06,18,385.37
A001159,JPM,LOT0791211623,2024-01-08,12,425.18
A001463,ABNB,LOT1a05289e69,2023-10-11,33,47.36
A001911,AAPL,LOT6c909d18f9,2025-08-29,5,167.01
A001703,MRK,LOTd9198baf9d,2025-05-06,30,23.91
A001864,EFA,LOTcd293802d1,2025-04-24,17,401.55
A001978,META,LOT83cfc820fb,2025-01-15,32,143.29
A001784,NVDA,LOTb130dffb5b,2025-05-25,17,273.79
A001211,PEP,LOTa2782c47ed,2024-08-26,21,243.4
A001612,JPM,LOT5d8d7ad81e,2024-08-11,11,393.79
A001272,QQQ,LOTa1a8ab6b92,2023-10-14,26,380.82
A001292,META,LOT1d3d3aedf2,2024-03-12,15,128.6
A001017,IVV,LOTa6df6d07a7,2023-11-11,15,471.78
A001336,AMD,LOT55c1a78258,2024-09-12,24,369.12
A001436,VOO,LOTaeab0577a4,2025-04-04,15,145.32
A001843,IVV,LOT0fa78b4f1b,2023-10-04,20,476.26
A001906,AMAT,LOT0d629a4150,2025-01-27,45,576.16
A001177,LIN,LOT7f3e963857,2025-05-27,29,333.02
A001286,BND,LOTb18f44ac97,2025-05-03,13,272.93
A001786,CSCO,LOT2c81033fd1,2024-06-24,37,181.21
A001644,LULU,LOT93a4aa31db,2025-04-16,135,98.92
A001507,BAC,LOTae34648808,2023-11-16,39,498.8
A001172,JNJ,LOT740010ebf8,2024-02-18,8,302.84
A001583,VNQ,LOT91f779ba03,2023-09-30,10,127.47
A001054,TXN,LOT49bd3526ef,2023-11-02,7,135.7
A001617,UNH,LOTe5c7150cab,2024-03-25,16,434.97
A002043,PG,LOT74c7d4be59,2024-08-01,12,343.46
A001605,QQQ,LOTddb7c797af,2025-07-13,66,327.52
A001490,VZ,LOT4d2279b075,2024-08-07,16,58.71
A001230,JNJ,LOT57c1b1e3ff,2024-04-13,33,298.3
A001145,ABNB,LOT6cdd383ce4,2025-08-25,3,85.43
A001739,SHEL,LOT21be47357f,2024-10-17,28,350.5
A001270,NFLX,LOT3deaf7057c,2024-02-02,17,376.06
A001861,ADBE,LOT40424127ac,2024-02-25,71,157.66
A001353,BND,LOTf8687ed027,2024-05-12,66,255.22
A001149,MSFT,LOT2ebaade951,2024-01-14,11,188.13
A001138,AAPL,LOT087cd68822,2024-12-12,83,186.6
A001441,GOOGL,LOT4e1a57541c,2025-07-07,9,158.32
A001815,ORCL,LOT0f38eafc07,2024-11-17,47,167.29
A002026,VNQ,LOTf59724b830,2024-07-08,29,207.03
A001867,EFA,LOTb7369f798a,2024-07-22,7,259.97
A001168,VOO,LOT1aedef8292,2024-03-06,11,126.4
A001312,BAC,LOTc499c24384,2025-06-13,7,546.34
A001634,NVDA,LOT627515ba79,2024-04-01,10,337.18
A001416,COST,LOT803a5af9a7,2025-03-31,35,502.96
A001669,INTC,LOT22aa908975,2024-01-15,26,275.68
A001135,KO,LOT9dffe30f01,2023-09-22,19,202.16
A001895,GLD,LOTb6a7b79acd,2025-01-05,22,67.35
A001118,JNJ,LOT099e4f9c2d,2025-06-10,11,328.92
A001889,BRK.B,LOTec292d86a2,2024-05-30,34,265.48
A001112,KO,LOT5680a9abdb,2023-10-25,12,163.33
A001359,BRK.B,LOT2630ca3acf,2025-08-25,71,207.65
A001281,EFA,LOT1cb8e19467,2025-08-26,24,371.01
A001335,VZ,LOT5251c19ffb,2024-09-16,20,72.94
A001530,MA,LOT3df41adfd8,2024-08-22,16,485.21
A001259,SLV,LOTa222a079a7,2024-12-05,14,142.31
A001241,VNQ,LOT3611e987ac,2025-08-07,10,186.55
A001686,COST,LOTb01bc5b5d7,2024-06-24,3,408.23
A001557,ABNB,LOT375268098e,2025-07-03,31,56.94
A001538,EEM,LOT1df46933d2,2024-01-25,14,238.5
A001157,VZ,LOT3303e4963e,2024-05-28,8,58.79
A002046,ADBE,LOTfa0b735c27,2025-07-12,6,138.98
A002023,TXN,LOT1f7af10a32,2024-02-04,28,103.77
A001341,ADBE,LOTb82cb98b06,2025-03-29,10,154.31
A001522,VNQ,LOTf76c255ad2,2025-05-24,48,164.83
A001236,XOM,LOT16af7e65a6,2024-04-03,31,166.37
A001005,GOOGL,LOT3195da3501,2025-08-25,12,128.34
A001500,GOOGL,LOT5198a2e8cc,2024-05-11,11,134.48
A001745,NFLX,LOTa370e242ac,2025-04-06,15,348.06
A001366,SHEL,LOT37fcaab38d,2025-08-01,48,366.32
A001858,XOM,LOT7b9750a39d,2024-10-12,52,200.78
A001508,AVGO,LOT1b330a6e5c,2024-10-14,22,310.32
A001555,MRK,LOT9c026b05ee,2025-06-19,15,28.13
A001763,BRK.B,LOT2c143132f8,2024-04-10,22,210.3
A001107,HD,LOT8041a1ae52,2025-01-21,4,329.73
A001094,INTC,LOT176ba10e7a,2025-06-28,21,377.04
A001952,AMAT,LOT1cb206fc4a,2024-11-21,15,477.01
A001636,PEP,LOT23cfba0280,2025-06-10,20,218.4
A001935,AAPL,LOT69a3aaaab9,2024-08-25,51,145.01
A001410,PFE,LOTb07d5de65a,2024-02-07,69,419.32
A001622,SLV,LOT740d270653,2023-12-09,30,128.98
A001496,NKE,LOT1df0428c02,2024-08-25,23,245.37
A002010,VNQ,LOTe268ebc074,2025-02-18,22,121.01
A001502,V,LOT217ae86624,2025-08-31,2,98.15
A001839,MSFT,LOTd368eb0de7,2025-01-11,15,178.19
A001709,VOO,LOTab5c9075de,2023-09-27,23,167.63
A001019,DIS,LOT0d08bddc59,2025-09-05,7,135.77
A001770,TXN,LOT28a3e7570b,2024-10-27,49,110.75
A001212,UNH,LOT29a4364d81,2024-03-13,22,384.17
A001487,AVGO,LOT70651e0101,2024-04-21,22,407.98
A001122,V,LOT2a9747184b,2024-11-24,13,98.77
A001190,GOOGL,LOT2f0932655b,2025-01-12,23,153.03
A001845,EFA,LOT97e24cdff2,2024-08-21,55,358.9
A001938,SLV,LOT4ba10db8a8,2025-06-12,26,121.95
A001195,ORCL,LOTa6683a7bda,2025-04-23,21,169.19
A001807,META,LOT9b12857820,2024-01-09,23,176.49
A001127,CRM,LOTd346306558,2023-10-29,2,149.27
A001267,JNJ,LOT8cbadbeb1b,2024-11-12,22,298.93
A001534,TXN,LOT7ec17282d1,2024-10-19,40,87.97
A001804,EFA,LOT44d5afd722,2024-10-07,14,427.19
A001651,AMD,LOT2a121dda74,2024-12-02,4,515.91
A001478,META,LOTfd9916dcbf,2025-02-11,63,172.13
A001278,VNQ,LOT7be2d69248,2024-01-17,27,146.15
A001223,V,LOT89eba52c98,2025-05-21,41,79.86
A001336,AMD,LOT7fa68124b1,2024-05-17,17,476.11
A001643,AVGO,LOTbacde5c831,2025-05-06,7,462.91
A001733,VNQ,LOTbd3dee2475,2025-02-06,18,168.87
A001925,KO,LOTa5c98cdfda,2024-05-20,12,162.02
A001542,TXN,LOT14ecda5856,2025-05-07,32,117.72
A001185,MA,LOTbd453da82d,2023-10-05,216,413.5
A001623,MRK,LOT67f09839bf,2023-09-24,14,26.68
A001082,UNH,LOTbfd5701ad4,2024-10-06,39,368.09
A001303,NVDA,LOTb12a5a699d,2024-12-26,26,420.38
A001728,INTC,LOT179ba99cfd,2024-03-30,7,360.73
A001100,TLT,LOT5fba52b9f3,2024-11-04,28,438.08
A001532,MRK,LOTe0883fc2f9,2025-03-12,12,27.09
A001063,INTC,LOTfe6064c656,2024-05-31,27,402.58
A001511,TSLA,LOTeaf58753dd,2024-05-21,10,470.78
A001208,COST,LOT145b17d118,2025-04-16,51,344.3
A001248,AAPL,LOT73c89a9de8,2025-07-05,7,189.19
A001455,JPM,LOT01d77212de,2025-02-16,12,344.03
A001820,ADBE,LOT5f4df4b4aa,2023-10-05,11,184.75
A001172,PYPL,LOT9703317c63,2024-01-15,35,409.68
A001530,BP,LOT4939f8c951,2025-06-22,14,142.26
A001044,META,LOT65c79174d1,2025-02-16,12,128.0
A001908,COST,LOTea5d048c1b,2025-04-28,14,429.35
A001188,LIN,LOTdf17c32637,2024-10-02,36,357.06
A001250,GOOGL,LOT94d5e7a462,2024-05-22,17,172.11
A001103,MA,LOTccd3e76495,2024-01-28,1,475.54
A001887,MRK,LOT4a5c74b0bd,2024-07-29,30,24.72
A002016,MSFT,LOT393ecce45b,2024-08-11,42,167.94
A001873,HD,LOT4dee80cd23,2024-09-09,43,352.13
A001439,BP,LOTfbd712ee75,2025-02-27,14,177.4
A001563,BAC,LOT084e98881a,2024-06-07,23,400.46
A001304,GOOGL,LOTd01bcd52ce,2023-12-18,3,110.14
A001503,QQQ,LOT0d4bbc7385,2024-11-08,11,356.75
A002021,AVGO,LOT9af4e4d993,2024-02-21,6,411.54
A001981,AMZN,LOT3ac9647ac3,2025-06-09,25,86.47
A001572,NFLX,LOT8f3ac12578,2025-04-19,26,216.34
A001858,PG,LOT5ddf605c29,2023-11-18,50,332.14
A001510,VOO,LOT693e1463c8,2024-02-28,9,166.66
A001039,NFLX,LOTea2f1e95be,2024-09-04,31,300.85
A001982,SHOP,LOT807776891e,2024-04-28,20,25.54
A001704,BP,LOTd106f7f5e1,2024-02-05,7,166.98
A002028,PEP,LOTd38d221a78,2024-08-05,5,200.46
A001553,HD,LOTc51ad89d48,2025-08-11,15,344.68
A001653,SPY,LOTd70196cda7,2025-01-25,16,254.02
A001060,LIN,LOT89096c2383,2024-11-23,7,332.98
A001119,COST,LOT7bc6d1d42f,2024-05-11,16,453.72
A001732,VNQ,LOT25fb0501d8,2024-01-17,10,147.83
A001476,MA,LOT7f264e3fcc,2025-05-27,7,443.63
A001507,IWM,LOT327cc8558a,2025-01-03,15,285.81
A001545,SHOP,LOT01d60d0aca,2025-07-11,13,27.67
A001449,SQ,LOT1475064f2c,2024-08-05,12,334.23
A001726,SHEL,LOT80742749a2,2025-03-13,20,492.95
A001360,JNJ,LOT7a110d83ee,2024-01-09,15,400.99
A001651,COST,LOT306b36c988,2023-09-23,15,459.72
A001734,BP,LOTf136d7d239,2024-01-10,12,173.86
A001057,EEM,LOT55ad52d007,2023-09-20,3,130.97
A001720,SQ,LOT7251bd7853,2024-02-07,9,406.61
A001291,SQ,LOT524dd2d441,2025-02-26,46,322.97
A002008,SHOP,LOT25307b402a,2024-10-25,14,27.02
A001359,VZ,LOT4e443a0aca,2025-07-30,12,62.2
A001184,AMZN,LOTebf04d2c46,2025-01-11,21,74.99
A001448,MSFT,LOT9e9e4ecb50,2024-03-16,31,217.0
A001978,AAPL,LOTc8226aef6e,2024-10-02,10,151.41
A001412,COST,LOT7cea384845,2025-04-26,22,451.38
A001697,EEM,LOTb514fc7e75,2025-03-09,17,131.04
A001662,AMZN,LOTfc6576dc30,2025-08-15,24,73.58
A001302,PYPL,LOT97aa969f8c,2025-04-14,8,369.75
A001227,TXN,LOT397a9a4b4f,2024-03-17,9,122.76
A001747,META,LOTf6b20138fd,2024-08-20,99,176.79
A001810,PYPL,LOTe652001dab,2025-05-26,5,406.8
A001689,KO,LOTa96897784a,2024-10-11,31,228.45
A001279,MA,LOT614cc82bf6,2024-06-16,12,425.67
A001997,QQQ,LOT7c4b6b4b68,2024-10-17,7,268.67
A001356,EEM,LOTd22ab3961d,2024-02-09,21,196.59
A001730,XOM,LOT18ca78d669,2023-10-26,20,227.11
A001359,NFLX,LOT87c7075839,2024-10-27,7,320.6
A001603,JPM,LOTee96e4c9b2,2025-03-09,12,364.82
A001003,EFA,LOT17b70af5dd,2024-01-29,78,333.47
A001801,TXN,LOT995d5a3bec,2024-02-03,15,110.88
A001066,HD,LOT4edfd9d78b,2023-12-30,1,294.09
A001651,BP,LOTae8122b483,2023-12-20,4,148.7
A001452,VOO,LOT1f5ba7fd44,2024-02-05,92,100.18
A001213,SHEL,LOT6f046a014d,2024-04-16,5,486.05
A001288,DIS,LOT2872f9ea27,2025-06-19,17,126.72
A001487,CSCO,LOTba34c400ba,2024-10-14,21,225.83
A001343,VOO,LOT8a50e4cad1,2025-06-08,15,88.13
A001687,AMD,LOTa1d20902ec,2025-08-26,19,558.84
A001543,UNH,LOTc76703f6ad,2024-12-25,44,418.34
A001138,CSCO,LOTcc32b35a6b,2024-12-18,18,226.63
A001221,GLD,LOT16a21e2cb2,2025-09-05,39,47.99
A001098,NFLX,LOT3791b255a8,2024-06-15,85,361.18
A001859,MA,LOT31057804b4,2024-07-10,88,454.09
A002009,ASML,LOTc1489f57e0,2024-08-15,13,533.72
A001719,SHOP,LOT3e3180247f,2024-08-18,36,38.15
A001207,LLY,LOT6d28aa4a65,2024-05-04,15,164.64
A001461,MA,LOTded8b7026d,2024-06-01,46,418.54
A001150,COST,LOT35d725181d,2025-08-03,12,392.65
A001603,MSFT,LOTaccd3e0dbd,2024-10-15,3,182.56
A001534,TSLA,LOT71a02f2047,2025-06-23,28,445.89
A001700,MA,LOTef9fb2e77a,2024-08-18,29,520.05
A001329,GLD,LOTbe672fd591,2025-06-22,135,59.7
A001190,DIS,LOT25c1fc3bef,2024-01-07,8,111.06
A001988,EEM,LOT65ac299af7,2025-08-06,37,220.74
A001883,QQQ,LOT2d0473e81b,2025-03-22,22,360.98
A001889,MA,LOT0221cbf259,2025-07-14,16,443.77
A001207,DIS,LOT6fb175d088,2025-02-08,54,133.29
A001389,AVGO,LOT73a084e9f9,2023-09-24,19,402.36
A001543,IWM,LOTdd189f101e,2024-11-22,14,343.72
A001609,JNJ,LOTad5ca4a657,2025-05-31,88,282.02
A001101,INTC,LOT2df5c56dcc,2024-01-30,10,384.1
A002005,V,LOT78d7e01826,2025-07-13,39,82.52
A001738,AAPL,LOTcec947d248,2024-06-26,42,131.29
A001179,PFE,LOTef839dc56e,2023-10-30,18,445.37
A001983,PG,LOTcfd9da5bc0,2025-05-30,9,376.68
A001052,UNH,LOT3708796679,2025-03-16,48,376.64
A001597,NVDA,LOT5f9560f30c,2024-05-10,28,413.16
A001236,KO,LOT4b4aa22950,2024-07-26,9,188.33
A001964,VZ,LOT1581265e24,2023-10-31,2,44.69
A001542,NVDA,LOTcc5b599a56,2023-11-19,36,313.42
A001793,HD,LOT6b2af5ae22,2024-08-23,25,257.49
A001781,ADBE,LOTcf1f9ef698,2025-02-27,2,148.43
A001912,GOOGL,LOTacbc3c35d3,2024-12-11,12,129.84
A001900,NKE,LOTb27eea4871,2024-12-11,64,170.72
A001463,LLY,LOT74e5b5eca7,2024-12-05,11,165.87
A001126,V,LOT4037580c73,2023-09-24,17,101.28
A001198,NVDA,LOT1dc1efc761,2023-10-23,19,381.31
A001704,COST,LOTf997a72e04,2024-03-01,51,337.95
A001847,BND,LOTe6e1702f09,2024-01-12,49,247.71
A001465,UBER,LOTfb63a58940,2025-07-06,20,354.99
A001792,MRK,LOT0356c3c0e0,2024-03-20,28,17.81
A001857,SHOP,LOTb3d447ca8b,2023-10-04,5,27.33
A001972,SQ,LOTfc719aa3dc,2025-01-08,32,370.76
A001975,KO,LOT2a0096e9a9,2025-06-18,11,204.59
A001808,LIN,LOT8cfa1ebe5e,2025-08-02,16,372.63
A002028,SQ,LOT603792205a,2024-03-26,12,317.32
A001301,BRK.B,LOT3e3050d50d,2024-06-04,9,221.81
A001354,MA,LOTbed14ac353,2025-02-02,40,407.52
A001394,JPM,LOT43032bf41d,2025-07-25,24,413.2
A001867,NVDA,LOT39c040b001,2023-10-08,48,245.32
A001891,PG,LOTf95593a603,2023-12-04,35,321.99
A001302,LLY,LOT20fc3bf281,2024-01-06,7,158.52
A001528,PEP,LOT94c73b695b,2025-06-30,9,231.38
A001178,NFLX,LOTfd0e6e287f,2024-02-15,9,340.88
A001813,UBER,LOTf91270a063,2024-10-08,3,402.78
A001565,ABNB,LOTb275ef7799,2024-05-25,5,77.22
A001025,LULU,LOT9bfab2f212,2023-09-20,10,87.05
A001859,BRK.B,LOT6ec405436c,2024-07-09,9,149.03
A001306,V,LOTeedfad2d5a,2024-02-04,13,71.97
A001205,SHEL,LOT02415ca2ac,2025-05-21,6,378.33
A001206,LULU,LOT98be80e03d,2024-11-18,16,94.12
A001704,ASML,LOT7ac31f3da1,2024-07-13,29,408.75
A001540,NFLX,LOT76df479559,2023-11-06,6,349.34
A001994,SQ,LOT29a33b4f1d,2023-12-23,15,402.5
A001968,GOOGL,LOT6392ba3691,2025-03-14,3,143.99
A001564,INTC,LOT711fa8992c,2025-04-12,10,358.59
A001822,GOOGL,LOT9dd386714c,2024-07-28,12,164.68
A001678,EFA,LOTdd3c6ef581,2025-01-06,5,266.41
A001100,SLV,LOT63855f9755,2024-05-08,32,139.63
A001550,LIN,LOT4051a33f85,2024-08-21,11,412.82
A001041,DIS,LOT0ece2061ef,2024-10-31,40,123.89
A001636,BAC,LOTb25dac894d,2024-04-21,23,440.0
A001201,AMAT,LOTe54ea56407,2025-01-16,41,532.96
A001275,KO,LOT1a222be241,2024-06-10,12,138.15
A001657,BAC,LOTd109a1742b,2024-07-07,10,391.91
A001182,PG,LOTb6377896b9,2024-06-11,19,412.5
A001432,BP,LOT4de9e2fa77,2024-07-17,27,173.27
A001992,BND,LOTade6e23a88,2024-03-27,23,254.37
A001765,MRK,LOTdb36f5ad63,2025-07-11,19,27.12
A001325,META,LOTf189b85fab,2024-10-23,13,142.83
A002037,INTC,LOT8908a76c2b,2025-04-21,3,372.82
A001059,HD,LOTca6891e89a,2025-02-21,15,392.71
A001411,LLY,LOT0944950ded,2025-07-09,6,172.16
A001510,GOOGL,LOT87e3bbf8bb,2024-05-27,17,150.25
A001103,BP,LOTab1e118530,2024-09-02,13,176.87
A001407,BAC,LOTafe88c7d91,2024-08-25,24,413.16
A001950,ORCL,LOT69cb9244a1,2024-07-27,8,234.35
A001253,TLT,LOT2489e38a22,2025-08-06,13,363.73
A001495,ADBE,LOT240bf67520,2024-04-24,13,149.21
A001913,HD,LOT3432ede181,2024-05-09,7,330.89
A001716,CSCO,LOT033b6b8d99,2025-03-23,23,154.55
A001529,SLV,LOT6315e3fd29,2023-10-02,22,123.45
A001185,PFE,LOTb9f248f3aa,2025-08-09,9,348.88
A001791,AMZN,LOTe225f41be1,2025-03-24,8,60.93
A001438,TXN,LOTc7f9ba192b,2025-01-23,19,88.59
A001461,TLT,LOT5338a62c68,2025-02-07,14,469.18
A001551,QQQ,LOT3be01f6f45,2024-07-14,21,261.08
A001041,AMAT,LOT570ee471fb,2023-10-09,10,427.42
A001018,T,LOTe9b22f7025,2025-04-24,67,278.82
A001354,SPY,LOT261456208b,2025-08-29,17,202.43
A001458,WMT,LOTd636ecacac,2023-12-24,36,264.76
A001625,EEM,LOT8973175966,2023-11-18,17,146.66
A001563,CRM,LOTee84caead3,2024-08-17,10,145.67
A001714,NKE,LOT3cc34ecd3a,2024-12-22,30,202.85
A001446,NKE,LOT4c5dbc8ca8,2024-11-01,9,202.76
A001813,PYPL,LOTa79aaaf7f6,2025-05-25,75,395.44
A001015,ORCL,LOTda3eeadd59,2023-10-29,43,178.29
A001766,UBER,LOT38f3ad2ccc,2023-11-14,25,324.97
A001578,KO,LOT7efe352e8c,2023-10-07,57,186.24
A001221,T,LOT33e474ae24,2025-07-03,17,171.03
A001688,BAC,LOT46d264a8d4,2023-11-21,27,493.31
A001665,AMAT,LOTc8e688c747,2024-11-27,49,452.86
A001534,QQQ,LOTb3500a0323,2023-11-09,10,422.57
A001611,PG,LOT63eca50d3d,2025-04-06,5,331.36
A001492,LIN,LOT3722d5c6a1,2025-07-10,62,399.94
A001827,IWM,LOT06261e708f,2024-10-14,15,277.47
A001286,GLD,LOTf07d5e9b20,2025-08-11,16,69.46
A002018,PFE,LOT90fd4a63dd,2024-12-15,37,472.3
A001857,INTC,LOTfc77b9c776,2024-08-05,35,437.25
A001072,PYPL,LOT5e28acfb46,2024-01-30,2,405.53
A001388,DIS,LOT13fede226f,2025-01-22,14,157.01
A001974,BP,LOT37d1abb677,2023-10-20,6,132.17
A001734,ORCL,LOT83f37fac09,2024-11-03,21,145.71
A001348,LLY,LOT8448f884fa,2023-11-03,152,190.11
A001370,PFE,LOTc0efc8d7fb,2025-05-30,12,462.02
A001964,JPM,LOT5bc4c12b0f,2024-12-16,23,353.29
A001374,TLT,LOTb115cabec1,2024-09-28,7,405.09
A001182,XOM,LOT9bee9016fc,2024-09-08,14,258.67
A001457,SLV,LOTbf027d4e22,2024-10-27,32,147.72
A001861,LULU,LOT984c384f14,2024-10-02,10,76.22
A001761,WMT,LOT361f31c21b,2024-01-16,17,243.06
A001602,NKE,LOTdec3202249,2025-05-09,28,259.84
A001963,AMZN,LOT4987f5fa8a,2023-11-27,23,60.65
A001145,T,LOTfb1b88136b,2025-02-19,14,301.19
A002024,BRK.B,LOTd47354f29f,2023-10-10,7,226.74
A001781,ABNB,LOTac906c08da,2024-11-05,50,61.71
A001846,AMZN,LOT0dfc3f897c,2025-04-05,8,68.93
A001281,PG,LOT7dfc448f82,2024-09-21,28,366.55
A001838,SQ,LOT66746c893a,2024-05-26,28,234.12
A001293,PEP,LOT943852d8d4,2025-03-06,12,263.54
A001165,VZ,LOT8bf8e1827c,2024-10-01,4,73.87
A001362,PEP,LOTabd493eff1,2023-11-27,18,278.59
A001118,AAPL,LOT859bcfe43d,2024-06-01,50,177.48
A001560,UNH,LOTe845acbe27,2025-03-18,24,494.1
A001324,VZ,LOT0ad41bac54,2025-06-08,8,55.54
A001265,IVV,LOTc5eaed63d2,2024-06-19,12,395.46
A001879,INTC,LOT923f556cbe,2024-06-24,50,429.58
A001977,NFLX,LOT194d3b3ff3,2025-09-02,26,330.78
A001077,SHOP,LOTda43bad56e,2025-02-14,37,28.76
A001764,AAPL,LOT5a45dd880f,2024-10-12,47,169.23
A001390,MSFT,LOT1951bf6855,2023-10-15,20,192.7
A001008,VOO,LOT220ab1e77a,2024-12-26,17,179.44
A001463,EFA,LOT0e66f6972f,2024-09-19,19,312.84
A001639,JPM,LOT639fbdfa1a,2025-05-24,16,371.97
A001785,ORCL,LOTad142afcfd,2024-01-13,17,127.84
A001626,MA,LOT97b62134eb,2025-07-02,35,421.68
A001093,KO,LOT0fbdfc3885,2024-11-13,25,194.69
A001933,GLD,LOT38fcc1d0fe,2024-03-23,8,67.83
A001691,CRM,LOT441b17d517,2023-10-04,8,140.44
A001274,DIS,LOT94e0c17159,2024-04-23,4,78.75
A001735,BND,LOTdea08f11ed,2025-02-26,40,274.47
A001337,BP,LOT9474d586f6,2024-07-20,16,159.93
A001039,XOM,LOT359a9bf5eb,2025-01-20,5,222.41
A001268,UNH,LOTbaa6ab661d,2025-08-15,20,355.45
A002033,MA,LOT243c642c51,2025-05-03,16,364.86
A001750,EEM,LOTe755d2c9a6,2023-11-10,5,163.36
A001076,NFLX,LOTf1f129718b,2023-11-21,6,331.53
A001523,VNQ,LOTd8d8fec2a1,2024-03-08,24,195.06
A001099,SPY,LOTd3a0b8aaf2,2025-07-19,24,384.42
A001221,QQQ,LOTede7c83d67,2025-08-17,14,351.46
A001098,EFA,LOT5dec06de02,2025-05-11,11,407.3
A001853,AMD,LOT92295d4639,2024-08-13,21,346.21
A001253,UBER,LOTa38cbd8d2a,2024-12-22,9,333.79
A001971,EFA,LOTa2cf90c135,2025-04-03,6,380.56
A001420,EFA,LOT5b88a101f1,2023-10-05,5,340.21
A001019,KO,LOT845fa28191,2024-07-03,14,205.65
A001206,IWM,LOTf16acd540f,2024-03-23,15,323.93
