client_id,churned,logins_30d,cash_outflows_30d,svc_tickets_90d,meeting_gap_days,response_latency_hours,nps_last,portfolio_drawdown_30d
C_a5fe4fe7,0,7,1188.25,0,5.0,0.5,41.0,-15.9
C_538d3da4,1,6,9857.88,1,128.0,10.6,-0.0,-9.4
C_edb70654,0,8,1806.83,1,112.8,27.2,60.0,-2.5
C_46330bdc,0,12,19935.52,0,53.8,4.8,38.0,-4.8
C_cc2b1098,0,14,5799.18,1,42.6,0.5,34.0,1.3
C_bb69502b,0,9,3563.15,0,12.9,2.0,59.0,1.0
C_5aca6178,0,13,1402.03,0,28.2,17.3,35.0,-12.0
C_7d3f536c,1,10,3053.06,0,38.7,16.3,34.0,4.1
C_b861118d,1,7,21886.64,1,56.4,24.7,1.0,8.6
C_397db8f3,1,6,1192.12,3,59.0,22.6,71.0,-11.1
C_1c5df8e7,1,6,4186.48,1,86.6,15.0,40.0,-5.2
C_5712bc19,0,12,1235.2,0,82.8,18.5,50.0,-4.9
C_5be33f74,1,7,8494.81,1,68.4,4.5,3.0,4.5
C_35aa22b4,0,7,1346.82,1,58.5,18.9,72.0,6.1
C_50620c88,1,11,2973.4,2,100.0,10.9,41.0,-5.6
C_f8b7787a,0,13,3632.94,0,89.4,20.5,80.0,-5.7
C_f94cfcb7,0,15,2904.24,1,75.6,16.2,62.0,3.1
C_ef31b186,1,9,854.29,1,45.8,7.3,-24.0,-4.2
C_5ab991a8,1,13,1228.33,0,98.7,1.0,56.0,-1.6
C_f2e1bf5b,1,6,13292.87,0,89.2,7.0,60.0,2.8
C_11581dc6,0,9,2761.82,0,51.4,13.8,53.0,1.4
C_84f01d7e,0,10,2938.89,0,5.0,3.8,42.0,-1.3
C_6b12309e,0,11,1765.19,1,63.3,10.5,32.0,-10.9
C_1381bb1f,1,5,5380.35,0,35.8,22.9,36.0,0.6
C_1d9fa83f,0,14,4353.89,1,85.1,23.7,72.0,3.0
C_50a4f1ad,0,23,16381.85,1,67.6,16.8,73.0,1.5
C_f4020c10,1,8,11073.06,2,5.0,25.6,32.0,-11.2
C_86f21f0f,0,14,15011.21,0,70.3,0.5,17.0,1.9
C_7c542f96,0,11,7744.9,1,120.0,25.0,68.0,-7.2
C_5a015d47,1,10,9655.88,0,54.7,0.5,59.0,-17.4
C_bd670187,0,15,15747.34,0,59.7,12.1,41.0,-3.9
C_7bcdc33f,0,13,1044.98,2,48.0,3.9,12.0,-9.9
C_b93d41b9,0,5,475.31,4,62.5,19.4,-6.0,-3.0
C_2963e05f,1,11,6094.28,2,113.9,0.5,55.0,-10.5
C_f7bf7387,1,8,14647.61,1,96.9,0.5,22.0,-4.3
C_a6c9d3f2,0,13,12373.01,0,39.8,5.5,22.0,-12.7
C_8de54253,0,11,11343.97,0,57.5,4.7,47.0,-7.1
C_152951f2,1,10,2817.21,2,59.7,6.3,23.0,-1.0
C_991637c9,1,6,2706.75,1,74.4,5.3,24.0,7.6
C_f13ccf61,0,12,7421.61,0,75.1,18.9,18.0,-4.7
C_976162a8,0,7,4089.5,0,56.6,11.2,53.0,-3.1
C_c8f17e49,0,11,11225.23,0,16.4,27.5,11.0,1.8
C_30851f33,1,12,10810.82,2,56.0,14.3,-2.0,-0.6
C_c1176535,1,6,9139.39,0,47.3,20.8,11.0,-0.3
C_648cbb2a,0,8,12681.73,2,28.6,17.8,71.0,1.2
C_a1033e1f,0,12,5895.92,0,87.6,3.0,20.0,-5.3
C_f592f1b6,0,12,4238.02,0,60.7,6.8,47.0,-7.7
C_c650e35e,1,12,6176.18,1,23.9,21.9,27.0,-1.3
C_352c15d5,0,13,280.27,0,129.3,0.5,30.0,-17.0
C_abd37e3c,1,9,4273.5,3,74.6,16.9,69.0,-15.3
C_c15aa122,0,16,8241.97,0,87.7,10.2,38.0,6.0
C_d3636013,1,13,2505.89,0,96.7,4.6,77.0,3.8
C_ede13d70,1,8,9022.85,0,44.7,9.3,83.0,-7.1
C_c9aa14ef,0,10,303.6,1,79.0,28.2,75.0,-10.4
C_b2485d96,1,12,14911.37,1,5.0,0.5,22.0,0.3
C_87c03245,1,4,12007.45,1,93.7,0.5,39.0,1.2
C_4b439822,0,9,7077.79,1,57.6,0.5,72.0,-8.4
C_54cef094,1,13,3506.98,1,78.4,7.6,55.0,-3.8
C_eb24ffcb,1,5,10966.86,1,57.5,5.8,64.0,-13.8
C_e1ea7a2f,1,5,7747.83,0,123.6,13.6,66.0,-5.6
C_f602847b,1,8,6670.09,1,102.8,7.2,68.0,-4.4
C_f5e9c01a,1,10,12300.06,2,5.0,16.5,10.0,-2.0
C_1f15df3c,1,8,14985.75,0,79.3,4.1,34.0,10.3
C_53c9192c,1,10,3766.88,0,50.1,33.0,19.0,-10.1
C_56ec0787,0,14,2352.69,1,80.7,18.1,32.0,6.0
C_f24e0e59,1,7,461.83,1,80.2,17.2,40.0,-6.5
C_747b0640,0,5,5516.97,1,34.0,18.3,38.0,-7.1
C_9d7c5b92,0,9,4560.76,0,55.9,1.5,20.0,3.3
C_2e82800c,0,9,9200.82,0,24.3,9.5,3.0,-7.2
C_6f440270,1,10,4850.07,0,112.0,10.0,-3.0,-8.3
C_7e8deb6e,1,6,1261.15,0,71.5,7.3,81.0,0.7
C_de494430,1,10,12885.2,0,75.1,8.5,66.0,-0.2
C_fb52acaf,1,9,5983.89,1,70.6,20.3,44.0,-6.2
C_839bcce1,1,8,7400.88,0,22.9,11.4,-36.0,7.8
C_ad4252d9,1,5,13079.64,0,82.1,15.0,15.0,-6.0
C_5a4d7779,1,18,4137.31,0,122.5,0.5,48.0,-12.6
C_022105f6,0,21,19421.5,0,5.5,0.5,56.0,-10.0
C_f58f906b,0,14,1865.29,0,62.8,2.6,27.0,-10.2
C_45c1eec1,1,16,18985.64,1,86.6,28.4,49.0,-5.3
C_a2124dd4,1,11,1823.15,1,33.8,32.1,33.0,5.6
C_8bf19f5b,0,7,8622.39,3,85.6,21.8,63.0,-13.9
C_fa516986,0,9,502.27,0,61.6,8.1,34.0,7.2
C_5af8efd3,0,18,12836.96,0,35.1,16.3,33.0,-7.3
C_29266a41,1,7,1652.37,0,5.0,24.6,23.0,-6.5
C_7b8e3334,1,6,7036.1,0,56.5,30.5,54.0,-7.8
C_fff781e5,0,9,446.21,0,57.4,0.5,45.0,-6.2
C_91264c6a,1,9,11560.58,1,106.0,14.0,6.0,-4.6
C_65369f21,1,12,409.74,0,71.9,8.8,45.0,-3.9
C_ad333a00,0,9,16783.9,0,41.5,17.9,40.0,-1.4
C_2532d2d2,1,10,1971.98,2,5.0,12.5,59.0,-15.7
C_78551a2a,1,13,4419.4,0,90.6,2.0,33.0,-4.0
C_1f479b00,1,14,11660.86,0,64.1,15.9,11.0,-0.2
C_e62572cf,1,10,858.49,1,46.2,5.0,24.0,-3.5
C_8a3c4270,1,11,4949.34,1,41.1,11.6,81.0,-4.7
C_2c252a87,1,14,2744.31,0,103.5,12.1,30.0,-6.2
C_0b92f95a,0,12,4188.26,3,108.7,28.9,61.0,3.3
C_a09ca936,1,13,4461.04,1,38.1,15.2,1.0,-0.2
C_29e52dbf,0,8,13854.41,0,5.0,11.1,45.0,-4.4
C_006f685e,1,11,12021.96,0,52.5,19.2,-3.0,0.0
C_8a1d5bb3,1,12,6622.55,1,67.9,3.2,37.0,2.5
C_e37a5453,1,13,12785.88,0,62.5,13.0,16.0,-11.3
C_d22ae5b5,0,6,2416.63,1,5.0,18.3,12.0,-0.0
C_d1ae95c6,1,11,2721.82,0,113.7,17.9,9.0,-8.1
C_81b04e8d,0,16,7770.63,3,5.0,6.7,30.0,4.7
C_d096dbf1,1,14,4087.1,0,33.8,15.6,-13.0,-8.8
C_c2e7ee9e,0,10,3272.24,2,24.2,18.8,-1.0,-3.2
C_8c7a4aca,0,9,3404.51,1,22.4,2.9,37.0,-1.4
C_26a56afe,1,7,9569.39,0,5.0,6.0,-9.0,-14.2
C_69e55546,1,11,10725.06,1,62.1,8.8,-3.0,-15.6
C_0794a1d0,0,3,6702.55,1,109.5,35.3,80.0,-5.6
C_6ab59bc8,0,4,11313.99,1,54.2,4.5,74.0,7.0
C_de96e250,1,11,1939.35,0,24.7,15.3,14.0,-4.1
C_f20cb986,1,11,10.55,0,109.3,8.5,43.0,-0.2
C_c549eaaf,1,8,5045.84,2,89.4,2.6,14.0,-21.8
C_d90b5183,0,11,10979.4,0,30.4,19.0,15.0,2.0
C_0844186b,1,12,3379.83,0,71.3,0.5,-43.0,-0.1
C_7cf54832,1,9,10612.5,2,97.8,26.4,73.0,0.9
C_4486d10e,0,8,2044.16,1,28.4,1.6,49.0,-2.8
C_5075fe6d,1,13,3869.87,0,64.3,5.3,54.0,-10.7
C_16aff5de,1,9,4509.2,1,46.4,17.7,48.0,-7.5
C_1acd9f51,1,8,13584.73,0,18.3,19.5,30.0,-8.5
C_046e3bfe,0,10,6453.39,1,65.8,14.3,23.0,0.3
C_8d992518,0,8,17222.54,2,75.1,6.7,34.0,-4.4
C_3aaa1140,0,12,4433.79,0,61.5,0.5,72.0,2.0
C_41c65ddb,1,11,5909.43,0,31.4,11.1,36.0,0.7
C_40f672ff,1,8,6255.79,1,133.5,3.5,84.0,7.5
C_85ab9a32,1,5,9340.65,1,42.9,36.1,16.0,-2.4
C_e9b652aa,1,13,693.52,0,79.5,13.3,-2.0,-4.4
C_9b68e07d,0,12,16791.12,2,88.3,0.5,12.0,-2.4
C_6acc3518,1,10,5090.75,0,5.0,8.7,31.0,-19.0
C_f279cece,0,6,2609.47,1,89.0,19.6,70.0,-5.2
C_a7e016f9,1,9,4887.83,0,60.3,23.6,23.0,0.6
C_a2ae108c,1,6,2807.87,0,50.8,8.9,-1.0,-4.8
C_89a63753,1,11,24482.65,0,55.7,10.8,35.0,-4.5
C_7e4b105d,1,9,12349.61,1,80.4,17.6,66.0,-4.8
C_702e0336,0,9,5347.63,3,5.0,2.6,35.0,6.5
C_f1a81078,1,10,4216.58,0,61.1,15.5,40.0,-1.4
C_47131fa1,1,8,11657.4,1,75.1,14.9,34.0,-4.0
C_dfe31055,1,10,11992.04,1,135.6,17.3,30.0,11.5
C_e2c8e826,1,9,15380.85,2,12.7,11.6,95.0,-10.9
C_20e2a537,0,12,9500.95,0,75.5,0.5,68.0,-7.2
C_53817d3d,0,10,5195.77,0,43.1,14.3,82.0,-9.6
C_31d8cc0e,0,8,4178.01,0,77.0,3.2,100.0,-7.7
C_81be42ec,0,10,11161.5,0,90.3,29.3,67.0,4.4
C_93b76990,1,12,20723.32,1,34.3,29.5,23.0,-9.1
C_d3fcdf0a,1,10,8897.57,0,128.4,0.6,57.0,-2.9
C_fd06a3a3,0,11,12703.0,0,106.3,3.4,83.0,-0.2
C_74971692,1,16,17628.83,1,87.6,0.5,48.0,1.1
C_db7b8b3b,0,8,811.84,2,47.5,19.4,26.0,-7.0
C_14d918be,0,13,8003.0,0,40.6,6.3,69.0,0.3
C_f349dbab,1,8,9598.06,1,75.4,14.7,3.0,-5.9
C_ee174cb2,0,8,3266.72,0,46.2,6.6,39.0,-3.0
C_5204ea9d,0,6,4619.21,1,41.7,0.5,54.0,-9.5
C_6e815f73,1,4,4452.81,0,127.0,14.1,32.0,-11.0
C_d3e6f171,1,15,10092.83,1,79.2,24.9,51.0,-1.0
C_9171bdd8,0,8,3957.2,1,88.8,11.7,51.0,11.2
C_23da8477,0,11,507.79,1,125.7,1.7,49.0,-5.0
C_59f42e73,0,11,3435.45,0,62.9,10.5,30.0,-3.3
C_22d5d930,1,10,4863.66,2,37.9,17.1,25.0,0.6
C_4571eabe,1,5,8506.38,1,22.5,10.0,32.0,3.3
C_17b96cf9,1,4,4000.58,2,107.4,1.0,1.0,3.6
C_22e98c23,1,7,4410.38,0,46.9,32.2,69.0,0.2
C_da2c74fe,0,13,9613.18,0,5.0,0.5,49.0,-4.1
C_957d6099,0,8,5927.3,1,5.0,34.7,39.0,1.1
C_9fa80cd1,0,10,12088.85,1,8.4,11.1,18.0,-0.7
C_48d51c69,0,5,2135.84,1,46.8,21.0,38.0,-3.4
C_6fc2ccc3,1,5,1199.17,2,52.1,14.2,38.0,2.5
C_0e7003a0,1,5,7061.18,0,78.4,3.2,24.0,-0.4
C_5a561f68,0,13,1062.24,1,20.2,25.3,61.0,-7.2
C_2e3f79a0,0,13,6951.22,2,67.6,18.2,7.0,-9.4
C_b39e9a98,1,8,124.76,0,90.9,11.0,12.0,-12.5
C_946e2eb3,0,10,1102.86,0,55.0,19.3,63.0,-8.7
C_7a145f3b,1,13,7837.48,1,43.7,10.6,73.0,-2.8
C_2d6a3ebe,0,13,2970.07,1,29.7,0.5,42.0,3.1
C_bbac0ac6,0,11,3850.36,0,100.1,0.5,10.0,-3.7
C_707bb03b,0,16,6737.58,0,12.1,11.8,68.0,-1.2
C_0dc4e8b1,1,8,4811.7,1,115.2,8.8,40.0,0.6
C_c5a0568c,1,12,6180.85,2,59.2,11.1,38.0,-10.3
C_0624a78a,1,12,7293.47,1,23.6,8.6,74.0,-5.6
C_015677e7,0,7,5401.63,1,89.4,0.8,56.0,-10.0
C_f6c2321e,1,8,9256.65,2,77.8,0.5,26.0,-5.0
C_4b0a3d27,1,13,5682.05,0,74.5,3.5,-4.0,-1.4
C_00e4a5c4,1,5,9051.13,1,84.6,19.5,27.0,-2.5
C_d63c2888,1,9,7235.19,1,65.7,3.8,47.0,-7.9
C_2f253807,1,10,18495.64,1,76.1,22.4,51.0,0.3
C_daaab934,0,5,5000.5,1,107.6,1.6,4.0,-1.4
C_26f0439b,1,16,11651.69,0,67.1,23.9,19.0,-0.4
C_b61ebb54,1,8,2580.07,0,88.7,6.8,-39.0,-2.1
C_55ef1cb8,0,15,4593.89,0,5.0,8.9,44.0,-7.5
C_c05b1017,1,11,1826.45,0,71.3,9.0,-8.0,-10.3
C_f7fc8823,1,8,22261.49,1,148.3,17.8,24.0,-0.7
C_a661ef2c,0,12,6772.7,1,5.0,14.5,13.0,-0.5
C_02317acd,1,9,1255.99,1,130.0,13.4,52.0,-2.5
C_65683f02,1,6,6560.78,1,85.2,11.2,45.0,9.6
C_3313e0be,1,7,18816.13,0,5.0,6.3,17.0,-5.8
C_704f5b5c,1,13,3857.05,0,61.4,23.0,39.0,-0.9
C_77baf746,0,15,10209.6,0,74.1,12.9,52.0,-2.3
C_caab3136,1,8,10991.98,0,91.9,17.7,43.0,-3.2
C_cc4b2246,1,7,1760.19,0,44.8,14.0,-49.0,-9.4
C_0eb7b65f,0,13,9707.17,0,84.4,7.8,93.0,-4.6
C_8858cc95,1,12,771.03,1,108.5,36.0,48.0,2.8
C_cd8c02a8,0,8,1932.98,0,91.0,24.3,63.0,0.5
C_7bfb409c,0,10,13151.25,0,101.8,6.6,17.0,2.1
C_99a429fc,1,4,3892.67,1,44.4,32.5,12.0,-6.7
C_d7391251,1,11,8629.59,2,84.0,21.3,22.0,2.6
C_39c4a081,1,7,7876.45,0,140.5,1.1,85.0,-9.6
C_014c14a7,1,10,9465.52,1,22.2,20.8,27.0,-4.2
C_b937994c,0,6,5895.76,2,74.8,16.2,33.0,-9.1
C_0baa1d35,0,13,902.97,2,21.0,13.7,81.0,7.6
C_673ca4fa,0,11,2728.67,0,103.9,22.1,26.0,-2.0
C_f271033e,0,11,820.35,1,5.0,15.4,35.0,2.7
C_b02b8cfa,1,14,8003.05,2,40.1,0.5,2.0,-0.6
C_b2723c0b,0,8,13308.25,1,140.7,0.5,84.0,0.2
C_1c1e9e79,1,3,14416.29,0,42.7,3.4,16.0,-9.3
C_116efbbb,1,9,2625.57,0,57.9,32.0,31.0,-3.4
C_2dd98831,1,15,7043.76,2,103.6,18.5,-49.0,-9.5
C_ce1a110d,0,10,8119.5,0,55.1,17.4,31.0,-5.8
C_3b867ef3,0,8,9348.79,0,5.0,13.1,33.0,-2.9
C_7af83509,0,10,1146.95,2,22.5,2.8,25.0,-8.6
C_2078517d,1,10,17744.06,2,106.1,0.5,-8.0,-10.8
C_d400684d,0,13,11485.64,1,111.5,22.0,49.0,-10.3
C_04f5b3dc,0,18,11668.55,1,5.0,28.6,-13.0,0.7
C_ed05830b,1,13,13424.22,1,26.8,18.8,-6.0,-5.0
C_3f0e1abe,0,11,8738.95,1,36.5,7.1,28.0,-10.8
C_d89e153f,0,10,2191.19,1,46.7,7.9,65.0,-3.5
C_557f7c1a,0,12,4027.19,0,27.5,18.9,34.0,1.1
C_27a77da4,0,9,6557.37,1,63.7,10.8,42.0,-3.9
C_9b1e2722,0,11,7905.51,0,39.9,10.4,18.0,-11.7
C_90f2cf89,1,6,3815.5,2,45.0,6.6,18.0,-4.3
C_c672f101,1,5,4716.34,1,20.4,5.4,57.0,-8.1
C_da58f64c,1,13,13428.01,1,87.4,10.8,66.0,-1.8
C_7feed03f,0,6,1801.04,1,11.4,0.5,63.0,-5.5
C_f0512bf6,0,10,3235.14,2,73.4,18.2,50.0,-2.0
C_c5cb4541,1,8,5153.81,0,95.1,0.5,43.0,-13.7
C_b5f09303,1,14,7879.95,1,129.7,22.7,-1.0,-2.9
C_0820742d,1,10,3137.55,0,77.5,6.7,21.0,-4.9
C_f7821612,1,7,12400.56,0,67.9,10.8,17.0,-8.7
C_e35b08a3,1,15,901.35,0,5.0,17.6,37.0,-3.0
C_2e75d2fb,1,6,10986.32,1,111.5,9.1,54.0,-5.2
C_70dd6655,0,12,8130.87,0,65.0,4.6,27.0,-3.8
C_fa6300c4,1,8,836.26,1,70.8,14.9,-27.0,-9.3
C_a8456747,1,7,5285.59,2,73.8,34.0,67.0,-2.5
C_51447a60,1,9,2524.93,1,64.0,19.9,13.0,-14.5
